ip_first, ip_last, as_number,
2001:428:5002:101::,2001:428:5802:3ff:ffff:ffff:ffff:ffff,209,
2001:428:5802:400::,2001:428:5802:400:ffff:ffff:ffff:ffff,4296,
2001:428:5802:401::,2001:428:5802:ffff:ffff:ffff:ffff:ffff,209,
2001:428:5803::,2001:428:5803:ffff:ffff:ffff:ffff:ffff,54318,
2001:428:5804::,2001:428:5c01:ffff:ffff:ffff:ffff:ffff,209,
2001:428:5c02::,2001:428:5c02:0:ffff:ffff:ffff:ffff,11286,
2001:428:5c02:1::,2001:428:6402:4:ffff:ffff:ffff:ffff,209,
2001:428:6402:5::,2001:428:6402:5:ffff:ffff:ffff:ffff,2639,
2001:428:6402:6::,2001:428:6402:21f:ffff:ffff:ffff:ffff,209,
2001:428:6402:220::,2001:428:6402:220:ffff:ffff:ffff:ffff,2639,
2001:428:6402:221::,2001:428:6802:213:ffff:ffff:ffff:ffff,209,
2001:428:6802:214::,2001:428:6802:214:ffff:ffff:ffff:ffff,19648,
2001:428:6802:215::,2001:428:6807:ffff:ffff:ffff:ffff:ffff,209,
2001:428:6808::,2001:428:6808:ffff:ffff:ffff:ffff:ffff,19648,
2001:428:6809::,2001:428:7003:10:ffff:ffff:ffff:ffff,209,
2001:428:7003:11::,2001:428:7003:11:ffff:ffff:ffff:ffff,6224,
2001:428:7003:12::,2001:428:9002:f800:ffff:ffff:ffff:ffff,209,
2001:428:9002:f801::,2001:428:9002:f801:ffff:ffff:ffff:ffff,6223,
2001:428:9002:f802::,2001:428:9002:f802:ffff:ffff:ffff:ffff,3635,
2001:428:9002:f803::,2001:428:9604:ffff:ffff:ffff:ffff:ffff,209,
2001:428:9605::,2001:428:9605:ffff:ffff:ffff:ffff:ffff,26039,
2001:428:9606::,2001:428:9e02:ffff:ffff:ffff:ffff:ffff,209,
2001:428:9e03::,2001:428:9e03:ffff:ffff:ffff:ffff:ffff,395478,
2001:428:9e04::,2001:428:a202:200:ffff:ffff:ffff:ffff,209,
2001:428:a202:201::,2001:428:a202:201:ffff:ffff:ffff:ffff,6223,
2001:428:a202:202::,2001:428:a402:106:ffff:ffff:ffff:ffff,209,
2001:428:a402:107::,2001:428:a402:107:ffff:ffff:ffff:ffff,46846,
2001:428:a402:108::,2001:428:c601:ffff:ffff:ffff:ffff:ffff,209,
2001:428:c602::,2001:428:c602:ff:ffff:ffff:ffff:ffff,36271,
2001:428:c602:100::,2001:428:dfff:ffff:ffff:ffff:ffff:ffff,209,
2001:428:e000::,2001:428:efff:ffff:ffff:ffff:ffff:ffff,3910,
2001:428:f000::,2001:428:ffff:ffff:ffff:ffff:ffff:ffff,3908,
2001:430::,2001:430:ffff:ffff:ffff:ffff:ffff:ffff,7332,
2001:438::,2001:438:2e:ffff:ffff:ffff:ffff:ffff,6461,
2001:438:2f::,2001:438:2f:ffff:ffff:ffff:ffff:ffff,17025,
2001:438:30::,2001:438:38:ffff:ffff:ffff:ffff:ffff,6461,
2001:438:39::,2001:438:39:ffff:ffff:ffff:ffff:ffff,17025,
2001:438:3a::,2001:438:64:ffff:ffff:ffff:ffff:ffff,6461,
2001:438:65::,2001:438:65:ffff:ffff:ffff:ffff:ffff,26762,
2001:438:66::,2001:438:6d:ffff:ffff:ffff:ffff:ffff,6461,
2001:438:6e::,2001:438:6f:ffff:ffff:ffff:ffff:ffff,397942,
2001:438:70::,2001:438:ffff:ffff:ffff:ffff:ffff:ffff,6461,
2001:440:1800::,2001:440:1800:ffff:ffff:ffff:ffff:ffff,1880,
2001:440:1878::,2001:440:1879:ffff:ffff:ffff:ffff:ffff,1878,
2001:440:1880::,2001:440:1880:ffff:ffff:ffff:ffff:ffff,1880,
2001:450::,2001:450:2014:ffff:ffff:ffff:ffff:ffff,3549,
2001:450:2015::,2001:450:2015:ffff:ffff:ffff:ffff:ffff,3356,
2001:450:2016::,2001:450:ffff:ffff:ffff:ffff:ffff:ffff,3549,
2001:458::,2001:458:ffff:ffff:ffff:ffff:ffff:ffff,8002,
2001:460::,2001:460:60:3001:ffff:ffff:ffff:ffff,3561,
